continent,country,population,day,time,cases_active,cases_critical,cases_recovered,case_total,deaths_total,tests_total,tests_1M_pop
,Diamond-Princess,,2025-12-30,2025-12-30T15:15:06+00:00,0.0,,699.0,712,13.0,,
Europe,Vatican-City,799.0,2025-12-30,2025-12-30T15:15:06+00:00,0.0,,29.0,29,,,
Africa,Western-Sahara,626161.0,2025-12-30,2025-12-30T15:15:06+00:00,0.0,,9.0,10,1.0,,
,MS-Zaandam,,2025-12-30,2025-12-30T15:15:06+00:00,0.0,,7.0,9,2.0,,
Asia,China,1448471400.0,2025-12-30,2025-12-30T15:15:06+00:00,118977.0,,379053.0,503302,5272.0,160000000.0,110461
Oceania,Tokelau,1378.0,2025-12-30,2025-12-30T15:15:06+00:00,80.0,,,80,,,
Europe,Isle-of-Man,85732.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,38008,116.0,150753.0,1758422
North-America,Cayman-Islands,67277.0,2025-12-30,2025-12-30T15:15:05+00:00,22882.0,1.0,8553.0,31472,37.0,222773.0,3311280
Africa,Congo,5797805.0,2025-12-30,2025-12-30T15:15:05+00:00,983.0,,24006.0,25375,386.0,347815.0,59991
North-America,Nicaragua,6779100.0,2025-12-30,2025-12-30T15:15:05+00:00,14041.0,,4225.0,18491,225.0,,
Asia,Tajikistan,9957464.0,2025-12-30,2025-12-30T15:15:05+00:00,397.0,,17264.0,17786,125.0,,
Africa,Djibouti,1016097.0,2025-12-30,2025-12-30T15:15:05+00:00,74.0,,15427.0,15690,189.0,305941.0,301094
North-America,Greenland,56973.0,2025-12-30,2025-12-30T15:15:05+00:00,9189.0,4.0,2761.0,11971,21.0,164926.0,2894810
Africa,Eritrea,3662244.0,2025-12-30,2025-12-30T15:15:05+00:00,0.0,,10086.0,10189,103.0,23693.0,6470
Africa,Niger,26083660.0,2025-12-30,2025-12-30T15:15:05+00:00,729.0,1.0,8890.0,9931,312.0,254538.0,9759
Africa,Saint-Helena,6115.0,2025-12-30,2025-12-30T15:15:05+00:00,2164.0,,2.0,2166,,,
South-America,Falkland-Islands,3539.0,2025-12-30,2025-12-30T15:15:05+00:00,0.0,,1930.0,1930,,8632.0,2439107
North-America,Montserrat,4965.0,2025-12-30,2025-12-30T15:15:05+00:00,19.0,,1376.0,1403,8.0,17762.0,3577442
Africa,Equatorial-Guinea,1496662.0,2025-12-30,2025-12-30T15:15:05+00:00,139.0,5.0,16907.0,17229,183.0,365697.0,244342
Africa,Liberia,5305117.0,2025-12-30,2025-12-30T15:15:05+00:00,12.0,2.0,7783.0,8090,295.0,139824.0,26356
Oceania,Nauru,10903.0,2025-12-30,2025-12-30T15:15:05+00:00,45.0,,5347.0,5393,1.0,20509.0,1881042
North-America,Caribbean-Netherlands,26647.0,2025-12-30,2025-12-30T15:15:05+00:00,1168.0,,10476.0,11682,38.0,30126.0,1130559
Africa,Somalia,16841795.0,2025-12-30,2025-12-30T15:15:05+00:00,12791.0,,13182.0,27334,1361.0,400466.0,23778
North-America,Bermuda,61939.0,2025-12-30,2025-12-30T15:15:05+00:00,10.0,,18685.0,18860,165.0,1029558.0,16622128
Africa,Gambia,2558482.0,2025-12-30,2025-12-30T15:15:05+00:00,65.0,,12189.0,12626,372.0,155686.0,60851
Africa,Mayotte,286259.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,42027,188.0,176919.0,618038
North-America,Grenada,113475.0,2025-12-30,2025-12-30T15:15:05+00:00,97.0,4.0,19358.0,19693,238.0,182981.0,1612523
North-America,Bahamas,400516.0,2025-12-30,2025-12-30T15:15:05+00:00,874.0,1.0,36366.0,38084,844.0,257839.0,643767
Africa,Comoros,907419.0,2025-12-30,2025-12-30T15:15:05+00:00,9.0,,8939.0,9109,161.0,,
Africa,Guinea-Bissau,2063367.0,2025-12-30,2025-12-30T15:15:05+00:00,508.0,6.0,8929.0,9614,177.0,145231.0,70385
Africa,Chad,17413580.0,2025-12-30,2025-12-30T15:15:05+00:00,2633.0,,4874.0,7701,194.0,191341.0,10988
Oceania,Vanuatu,321832.0,2025-12-30,2025-12-30T15:15:05+00:00,29.0,,11976.0,12019,14.0,24976.0,77606
North-America,Sint-Maarten,43966.0,2025-12-30,2025-12-30T15:15:05+00:00,54.0,,10905.0,11051,92.0,62056.0,1411454
Oceania,Wallis-and-Futuna,10982.0,2025-12-30,2025-12-30T15:15:05+00:00,3104.0,,438.0,3550,8.0,20508.0,1867419
North-America,St-Barth,9945.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,5507,6.0,78646.0,7908095
North-America,Saint-Kitts-and-Nevis,53871.0,2025-12-30,2025-12-30T15:15:05+00:00,0.0,,6559.0,6607,48.0,126958.0,2356704
Asia,Timor-Leste,1369429.0,2025-12-30,2025-12-30T15:15:05+00:00,220.0,,23102.0,23460,138.0,278529.0,203391
Oceania,Kiribati,123419.0,2025-12-30,2025-12-30T15:15:05+00:00,2358.0,3.0,2703.0,5085,24.0,,
Africa,Tanzania,63298550.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,43223,846.0,,
Africa,Mauritius,1274727.0,2025-12-30,2025-12-30T15:15:05+00:00,696.0,,41278.0,43025,1051.0,358675.0,281374
Africa,Togo,8680837.0,2025-12-30,2025-12-30T15:15:05+00:00,1.0,,39281.0,39572,290.0,815204.0,93908
Africa,Guinea,13865691.0,2025-12-30,2025-12-30T15:15:05+00:00,347.0,,37757.0,38572,468.0,660107.0,47607
Africa,Lesotho,2175699.0,2025-12-30,2025-12-30T15:15:05+00:00,9435.0,,25980.0,36138,723.0,431221.0,198199
North-America,Haiti,11680283.0,2025-12-30,2025-12-30T15:15:05+00:00,73.0,,33734.0,34667,860.0,132422.0,11337
Europe,Faeroe-Islands,49233.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,34658,28.0,778000.0,15802409
Africa,Mali,21473764.0,2025-12-30,2025-12-30T15:15:05+00:00,89.0,,32332.0,33164,743.0,804909.0,37483
North-America,Saint-Lucia,185113.0,2025-12-30,2025-12-30T15:15:05+00:00,0.0,,29805.0,30215,410.0,210983.0,1139752
Africa,Benin,12784726.0,2025-12-30,2025-12-30T15:15:05+00:00,26.0,,27847.0,28036,163.0,604310.0,47268
Asia,Macao,667490.0,2025-12-30,2025-12-30T15:15:05+00:00,24063.0,,3487.0,27673,123.0,7850.0,11760
Oceania,Micronesia,117489.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,26547,65.0,82430.0,701598
Europe,San-Marino,34085.0,2025-12-30,2025-12-30T15:15:05+00:00,46.0,,26011.0,26185,128.0,196855.0,5775414
Oceania,Solomon-Islands,721159.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,25954,199.0,,
Africa,Burkina-Faso,22102838.0,2025-12-30,2025-12-30T15:15:05+00:00,118.0,,21596.0,22114,400.0,248995.0,11265
Europe,Liechtenstein,38387.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,21574,94.0,112457.0,2929559
Europe,Gibraltar,33704.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,20550,113.0,534283.0,15852213
Africa,South-Sudan,11618511.0,2025-12-30,2025-12-30T15:15:05+00:00,557.0,1.0,18115.0,18819,147.0,410280.0,35313
Europe,Monaco,39783.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,17181,67.0,78646.0,1976875
Oceania,Samoa,202239.0,2025-12-30,2025-12-30T15:15:05+00:00,15370.0,,1605.0,17006,31.0,187397.0,926612
Oceania,Tonga,107749.0,2025-12-30,2025-12-30T15:15:05+00:00,1299.0,,15638.0,16950,13.0,535009.0,4965327
Oceania,Marshall-Islands,60057.0,2025-12-30,2025-12-30T15:15:05+00:00,0.0,,16121.0,16138,17.0,,
North-America,Dominica,72344.0,2025-12-30,2025-12-30T15:15:05+00:00,0.0,,15964.0,16038,74.0,229344.0,3170187
Africa,CAR,5016678.0,2025-12-30,2025-12-30T15:15:05+00:00,127.0,2.0,15200.0,15440,113.0,81294.0,16205
North-America,Saint-Martin,39730.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,12324,63.0,112382.0,2828643
Asia,Yemen,31154867.0,2025-12-30,2025-12-30T15:15:05+00:00,662.0,,9124.0,11945,2159.0,329592.0,10579
North-America,St-Vincent-Grenadines,111551.0,2025-12-30,2025-12-30T15:15:05+00:00,57.0,,9493.0,9674,124.0,114197.0,1023720
North-America,Antigua-and-Barbuda,99509.0,2025-12-30,2025-12-30T15:15:05+00:00,6.0,,8954.0,9106,146.0,18901.0,189943
Africa,Sierra-Leone,8306436.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,7779,126.0,259958.0,31296
North-America,British-Virgin-Islands,30596.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,7392,64.0,107339.0,3508269
Oceania,Cook-Islands,17571.0,2025-12-30,2025-12-30T15:15:05+00:00,51.0,,7150.0,7203,2.0,19690.0,1120596
Africa,Sao-Tome-and-Principe,227679.0,2025-12-30,2025-12-30T15:15:05+00:00,13.0,,6685.0,6778,80.0,29600.0,130008
North-America,Turks-and-Caicos,39741.0,2025-12-30,2025-12-30T15:15:05+00:00,3.0,4.0,6709.0,6752,40.0,616788.0,15520193
Oceania,Palau,18233.0,2025-12-30,2025-12-30T15:15:05+00:00,4.0,,6276.0,6290,10.0,71434.0,3917841
North-America,Anguilla,15230.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,3904,12.0,51382.0,3373736
North-America,Saint-Pierre-Miquelon,5759.0,2025-12-30,2025-12-30T15:15:05+00:00,1001.0,,2449.0,3452,2.0,25400.0,4410488
Oceania,Tuvalu,12066.0,2025-12-30,2025-12-30T15:15:05+00:00,,,,2943,1.0,,
Oceania,Niue,1622.0,2025-12-30,2025-12-30T15:15:05+00:00,3.0,,1056.0,1059,,,
North-America,Cura&ccedil;ao,165529.0,2025-12-30,2025-12-30T15:15:04+00:00,971.0,3.0,44720.0,45986,295.0,496693.0,3000640
South-America,French-Guiana,314169.0,2025-12-30,2025-12-30T15:15:04+00:00,86367.0,6.0,11254.0,98041,420.0,651257.0,2072951
Europe,Channel-Islands,176463.0,2025-12-30,2025-12-30T15:15:04+00:00,168.0,,101321.0,101717,228.0,1252808.0,7099551
Africa,Egypt,106156692.0,2025-12-30,2025-12-30T15:15:04+00:00,49228.0,122.0,442182.0,516023,24613.0,3693367.0,34792
Asia,Uzbekistan,34382084.0,2025-12-30,2025-12-30T15:15:04+00:00,10539.0,23.0,241486.0,253662,1637.0,1377915.0,40077
Asia,Kyrgyzstan,6728271.0,2025-12-30,2025-12-30T15:15:04+00:00,7500.0,131.0,196406.0,206897,2991.0,1907195.0,283460
Asia,Qatar,2979915.0,2025-12-30,2025-12-30T15:15:04+00:00,147.0,16.0,513687.0,514524,690.0,4065369.0,1364257
Oceania,Fiji,909466.0,2025-12-30,2025-12-30T15:15:04+00:00,1006.0,,67226.0,69117,885.0,672883.0,739866
South-America,Suriname,596831.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,82588,1408.0,242207.0,405822
North-America,Aruba,107609.0,2025-12-30,2025-12-30T15:15:04+00:00,1494.0,2.0,42438.0,44224,292.0,177885.0,1653068
Africa,Libya,7040745.0,2025-12-30,2025-12-30T15:15:04+00:00,2.0,,500835.0,507274,6437.0,2483848.0,352782
Africa,Ethiopia,120812698.0,2025-12-30,2025-12-30T15:15:04+00:00,5412.0,,488171.0,501157,7574.0,5565340.0,46066
Africa,R&eacute;union,908061.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,494595,921.0,1603660.0,1766027
North-America,Honduras,10221247.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,474590,11165.0,1660662.0,162472
Asia,Armenia,2971966.0,2025-12-30,2025-12-30T15:15:04+00:00,7892.0,,435162.0,451831,8777.0,3242901.0,1091164
Europe,Bosnia-and-Herzegovina,3249317.0,2025-12-30,2025-12-30T15:15:04+00:00,8143.0,,379084.0,403615,16388.0,1884721.0,580036
Asia,Oman,5323993.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,399449,4628.0,25000000.0,4695724
Europe,Luxembourg,642371.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,391232,1232.0,4587145.0,7140959
Europe,North-Macedonia,2081304.0,2025-12-30,2025-12-30T15:15:04+00:00,3523.0,,337068.0,350567,9976.0,2226216.0,1069626
Africa,Zambia,19470234.0,2025-12-30,2025-12-30T15:15:04+00:00,3919.0,,341316.0,349304,4069.0,4112961.0,211244
Africa,Kenya,56215221.0,2025-12-30,2025-12-30T15:15:04+00:00,1132.0,,337309.0,344130,5689.0,3967062.0,70569
Asia,Brunei,445431.0,2025-12-30,2025-12-30T15:15:04+00:00,99893.0,3.0,243601.0,343719,225.0,717784.0,1611437
Europe,Albania,2866374.0,2025-12-30,2025-12-30T15:15:04+00:00,1025.0,,330233.0,334863,3605.0,1941032.0,677173
Africa,Botswana,2441162.0,2025-12-30,2025-12-30T15:15:04+00:00,788.0,1.0,327049.0,330638,2801.0,2026898.0,830300
Europe,Montenegro,627950.0,2025-12-30,2025-12-30T15:15:04+00:00,1902.0,,291794.0,296542,2846.0,2769281.0,4410034
Africa,Algeria,45350148.0,2025-12-30,2025-12-30T15:15:04+00:00,82068.0,,183061.0,272010,6881.0,230960.0,5093
Africa,Nigeria,216746934.0,2025-12-30,2025-12-30T15:15:04+00:00,4080.0,11.0,259953.0,267188,3155.0,5708974.0,26339
Africa,Zimbabwe,15331428.0,2025-12-30,2025-12-30T15:15:04+00:00,1731.0,12.0,258888.0,266359,5740.0,2525756.0,164744
Asia,Afghanistan,40754388.0,2025-12-30,2025-12-30T15:15:04+00:00,15098.0,,211080.0,234174,7996.0,1390730.0,34125
Africa,Mozambique,33089461.0,2025-12-30,2025-12-30T15:15:04+00:00,2676.0,11.0,228805.0,233731,2250.0,1371127.0,41437
North-America,Martinique,374087.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,230354,1102.0,828928.0,2215870
Asia,Laos,7481023.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,218970,758.0,1233207.0,164845
Europe,Iceland,345393.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,209906,229.0,1996384.0,5780036
North-America,Guadeloupe,399794.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,203235,1021.0,938039.0,2346306
North-America,El-Salvador,6550389.0,2025-12-30,2025-12-30T15:15:04+00:00,18215.0,,179410.0,201855,4230.0,2610114.0,398467
North-America,Trinidad-and-Tobago,1406585.0,2025-12-30,2025-12-30T15:15:04+00:00,28.0,,187078.0,191496,4390.0,913289.0,649295
Asia,Maldives,540985.0,2025-12-30,2025-12-30T15:15:04+00:00,22691.0,25.0,163687.0,186694,316.0,2213831.0,4092223
Africa,Namibia,2633874.0,2025-12-30,2025-12-30T15:15:04+00:00,1184.0,,167099.0,172389,4106.0,1062663.0,403460
Africa,Uganda,48432863.0,2025-12-30,2025-12-30T15:15:04+00:00,68086.0,,100431.0,172149,3632.0,3012408.0,62198
Africa,Ghana,32395450.0,2025-12-30,2025-12-30T15:15:04+00:00,2.0,,170425.0,171889,1462.0,2541625.0,78456
North-America,Jamaica,2985094.0,2025-12-30,2025-12-30T15:15:04+00:00,,,,156869,3756.0,1183986.0,396633
Asia,Cambodia,17168639.0,2025-12-30,2025-12-30T15:15:04+00:00,3.0,,136044.0,139103,3056.0,3091420.0,180062
Africa,Rwanda,13600464.0,2025-12-30,2025-12-30T15:15:04+00:00,11.0,,132039.0,133518,1468.0,6021981.0,442778
Africa,Cameroon,27911548.0,2025-12-30,2025-12-30T15:15:04+00:00,125.0,,123280.0,125379,1974.0,1751774.0,62762
Europe,Malta,444033.0,2025-12-30,2025-12-30T15:15:04+00:00,386.0,,120149.0,121420,885.0,2170600.0,4888375
